,name,full_name,birth_date,age,height_cm,weight_kgs,body_mass_index,positions,primary_position,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,setpiece_stats,attacking_stats,skill_stats,movement_stats,power_stats,mentality_stats,defending_stats
1360,S. Johnson,Sean  Johnson,05/31/89,29,190.5,98.0,27.0,GK,GK,United States,70,71,1400000.0,4000.0,Right,1,2,1,Normal,2200000.0,18.5,18.0,20.6,49.6,44.2,26.0,15.33
1361,Ferro,Francisco Reis Ferreira,03/26/97,21,190.5,72.1,19.87,CB,CB,Portugal,70,79,2400000.0,4000.0,Right,1,2,2,Lean,5300000.0,38.75,44.2,43.8,54.2,57.6,50.0,68.0
1362,C. Bieler,Claudio Daniel Bieler,03/01/84,35,152.4,77.1,33.2,ST,ST,Argentina,70,70,925000.0,8000.0,Right,1,3,3,Normal,1300000.0,58.25,64.2,57.2,68.6,70.2,61.5,28.67
1363,M. Hefele,Michael Hefele,09/01/90,28,193.04,91.2,24.47,CB,CB,Germany,70,72,1700000.0,24000.0,Right,1,2,2,Stocky,3400000.0,46.0,49.2,45.0,42.4,59.6,61.33,68.0
1364,D. Blum,Danny Blum,01/07/91,28,182.88,83.0,24.82,"ST,LM,RW,RM",ST,Germany,70,70,1900000.0,19000.0,Left,1,3,3,Normal,0.0,60.0,60.8,69.6,74.8,68.0,49.83,26.0
1365,U. Uçar,Uğur Uçar,04/05/87,31,154.94,69.9,29.12,"RB,LB",RB,Turkey,70,70,1200000.0,12000.0,Right,1,2,3,Lean,2200000.0,60.75,53.0,61.8,66.0,59.8,63.17,70.67
1366,N. Paz,Nehuén Mario Paz,04/28/92,26,193.04,88.9,23.86,"CB,LB",CB,Argentina,70,75,2000000.0,15000.0,Left,1,3,2,Normal,3500000.0,50.5,48.6,50.4,47.2,59.6,52.83,70.67
1367,Bernardo,Bernardo Víctor Cruz Torres,07/17/93,25,190.5,84.8,23.37,CB,CB,Spain,70,77,2100000.0,5000.0,Right,1,3,2,Normal,3800000.0,39.0,45.0,45.0,46.0,64.2,51.33,65.0
1368,M. Gori,Mirko Gori,02/04/93,26,152.4,76.2,32.81,"CM,CDM",CM,Italy,70,71,2100000.0,9000.0,Left,1,3,3,Normal,3900000.0,52.0,53.0,59.6,68.0,61.4,62.5,66.67
1369,R. Robayo,Rafael Robayo,04/24/84,34,182.88,78.0,23.32,"CM,CDM",CM,Colombia,70,70,875000.0,1000.0,Right,1,3,3,Lean,1200000.0,62.75,59.6,63.2,59.4,67.6,67.0,64.67
1370,A. Totovytskyi,Andriy Totovytskyi,01/20/93,26,187.96,77.1,21.82,"CAM,RM",CAM,Ukraine,70,73,2200000.0,1000.0,Right,1,3,3,Lean,4900000.0,64.75,66.4,68.4,64.0,68.2,59.67,44.67
1371,O. Hüsing,Oliver Hüsing,02/17/93,26,193.04,88.0,23.62,CB,CB,Germany,70,73,1900000.0,3000.0,Right,1,2,2,Normal,2900000.0,36.25,44.8,37.0,46.8,61.2,52.17,69.33
1372,A. Seculin,Andrea Seculin,07/14/90,28,190.5,79.8,21.99,GK,GK,Italy,70,71,1400000.0,7000.0,Right,1,3,1,Lean,2600000.0,18.25,15.4,16.4,40.8,30.2,29.67,15.0
1373,Marco Sangalli,Marco Sangalli Fuentes,02/07/92,27,152.4,66.2,28.5,"RM,RW",RM,Spain,70,70,1900000.0,6000.0,Right,1,3,3,Lean,3100000.0,61.25,58.8,59.2,74.0,61.2,58.33,49.33
1374,M. Danielson,Marcus Danielsson,04/08/89,29,193.04,81.2,21.79,CB,CB,Sweden,70,71,1600000.0,4000.0,Right,1,2,2,Lean,2100000.0,38.0,41.0,38.8,53.8,45.6,53.5,71.67
1375,Kim Young Gwon,김영권 金英权,02/27/90,29,185.42,74.8,21.76,CB,CB,Korea Republic,70,71,1600000.0,7000.0,Left,1,3,2,Normal,2100000.0,63.75,63.6,63.2,67.2,64.8,64.67,68.33
1376,M. Barbieri,Miguel Barbieri,08/24/93,25,154.94,78.9,32.87,CB,CB,Argentina,70,77,2100000.0,9000.0,Right,1,2,2,Normal,0.0,36.75,42.4,40.0,62.8,62.8,53.17,67.33
1377,G. Belaud,Gaëtan Belaud,09/16/86,32,152.4,76.2,32.81,RB,RB,France,70,70,1200000.0,4000.0,Right,1,3,2,Normal,2100000.0,59.5,57.2,62.4,69.6,65.2,61.67,68.67
1378,Ricardo Ferreira,Ricardo Abel Barbosa Ferreira,12/03/89,29,187.96,82.1,23.24,GK,GK,Portugal,70,71,1400000.0,5000.0,Right,1,3,1,Lean,3100000.0,16.0,17.6,18.2,47.2,42.0,27.0,13.67
1379,K. Barbarouses,Kosta Barbarouses,02/19/90,29,170.18,68.0,23.48,"ST,RW",ST,New Zealand,70,70,1800000.0,7000.0,Right,1,3,3,Lean,2300000.0,57.75,63.2,58.8,80.8,69.4,59.67,26.33
1380,J. Rodríguez,José Iván Rodríguez,06/17/96,22,170.18,60.8,20.99,CDM,CDM,Mexico,70,77,2100000.0,12000.0,Left,1,3,2,Lean,4100000.0,56.5,53.6,58.8,71.0,61.0,60.83,68.67
1381,C. Battocchio,Cristian Battocchio,02/10/92,27,170.18,64.0,22.1,"CM,LM",CM,Italy,70,71,2100000.0,5000.0,Right,1,3,3,Normal,3800000.0,63.25,57.8,66.4,77.8,66.2,63.5,58.33
1382,W. Grigg,Will Grigg,07/03/91,27,154.94,69.9,29.12,ST,ST,Northern Ireland,70,71,2100000.0,9000.0,Right,2,3,3,Normal,3900000.0,45.5,59.8,51.2,72.8,73.0,56.67,27.67
1383,M. Coutadeur,Mathieu Coutadeur,03/20/86,32,170.18,68.9,23.79,"CDM,CM",CDM,France,70,70,1000000.0,4000.0,Right,2,4,3,Normal,1800000.0,67.75,61.0,72.2,71.4,72.4,70.83,61.33
1384,R. Petretta,Raoul Petretta,03/24/97,21,175.26,69.9,22.76,LB,LB,Italy,70,82,2800000.0,9000.0,Left,1,3,3,Normal,4700000.0,51.25,51.6,52.0,75.0,57.8,59.17,69.67
1385,S. De Ridder,Steve De Ridder,02/25/87,32,152.4,71.2,30.66,"LM,CAM",LM,Belgium,70,70,1600000.0,9000.0,Right,1,3,3,Normal,2300000.0,67.0,64.6,69.2,72.6,68.8,63.67,34.67
1386,Macarinho Louro,Macario André Louro Padilha,02/29/88,31,175.26,69.9,22.76,"CAM,CM",CAM,Brazil,70,70,1700000.0,8000.0,Left,1,3,4,Lean,3200000.0,68.75,63.2,67.0,79.0,56.2,53.0,29.67
1387,B. Meling,Birger Solberg Meling,12/17/94,24,172.72,64.0,21.45,"LB,CDM",LB,Norway,70,75,2000000.0,4000.0,Left,1,3,3,Lean,2700000.0,57.25,50.2,61.0,76.6,59.4,63.5,69.33
1388,N. Obiora,Nwankwo Emeka Obiora,07/12/91,27,185.42,81.2,23.62,CDM,CDM,Nigeria,70,71,1700000.0,5000.0,Right,1,3,2,Normal,3800000.0,43.75,51.0,55.2,66.2,76.6,58.33,67.0
1389,Puertas,Antonio José Rodríguez Díaz,02/21/92,27,182.88,77.1,23.05,"LM,RM",LM,Spain,70,70,1900000.0,6000.0,Right,1,3,3,Normal,3100000.0,63.0,61.6,61.6,72.4,69.2,55.33,34.33
1390,A. Saldívar,Alfredo Saldívar Medina,02/09/90,29,182.88,78.0,23.32,GK,GK,Mexico,70,70,1200000.0,9000.0,Right,1,3,1,Normal,2100000.0,17.75,16.4,16.2,58.6,39.6,28.67,16.0
1391,Y. Wissa,Yoane Wissa,09/03/96,22,154.94,74.8,31.16,"LM,ST,RM",LM,France,70,82,3200000.0,4000.0,Right,1,3,3,Normal,6200000.0,58.25,62.4,56.0,78.4,68.4,56.17,21.0
1392,R. Ovelar,Roberto Andrés Ovelar Maldonado,12/01/85,33,154.94,81.2,33.82,ST,ST,Paraguay,70,70,1400000.0,3000.0,Right,1,4,3,Stocky,2000000.0,57.0,68.2,61.2,58.2,68.2,57.83,34.33
1393,D. Dessena,Daniele Dessena,05/10/87,31,182.88,74.8,22.37,"CM,RB",CM,Italy,70,70,1500000.0,3000.0,Right,2,3,3,Normal,2400000.0,63.5,65.0,66.8,66.0,72.8,69.5,72.67
1394,N. Al Shamrani,Nasser Ali Al Shamrani,11/23/83,35,175.26,69.9,22.76,ST,ST,Saudi Arabia,70,70,925000.0,22000.0,Right,2,3,2,Normal,1600000.0,63.0,65.4,55.2,70.8,77.0,66.83,24.33
1395,Sílvio,Sílvio Manuel Azevedo Ferreira Sá Pereira,09/28/87,31,175.26,72.1,23.47,"RB,LB",RB,Portugal,70,70,1300000.0,4000.0,Right,1,4,3,Lean,2700000.0,64.75,61.4,63.2,71.4,67.4,63.5,71.67
1396,M. Bolados,Marcos Bolados Hidalgo,02/27/96,23,167.64,72.1,25.66,"RW,RM,CM",RW,Chile,70,77,2500000.0,5000.0,Right,1,3,3,Normal,4000000.0,61.0,53.2,61.4,72.6,66.4,61.83,58.33
1397,Diogildo Peixe,Diogo Nathan Peixe Barreto,02/29/88,31,154.94,71.2,29.66,"CAM,ST",CAM,Brazil,70,70,1700000.0,10000.0,Right,1,4,3,Lean,3200000.0,59.5,66.4,60.8,74.6,63.0,56.5,19.0
1398,S. Griesbeck,Sebastian Griesbeck,10/03/90,28,187.96,84.8,24.0,"CDM,CM",CDM,Germany,70,70,1500000.0,7000.0,Right,1,3,2,Normal,2400000.0,51.25,53.2,54.0,56.4,66.8,58.83,70.67
1399,L. García,Luis Manuel García Palomera,12/31/92,26,182.88,89.8,26.85,GK,GK,Mexico,70,75,1700000.0,9000.0,Right,1,3,1,Normal,3000000.0,19.75,19.8,20.2,48.4,44.0,34.0,14.33
1400,J. Brabec,Jakub Brabec,08/06/92,26,187.96,83.0,23.49,CB,CB,Czech Republic,70,73,1900000.0,1000.0,Right,1,3,2,Normal,4300000.0,50.5,55.4,50.4,57.4,62.8,61.17,70.33
1401,Nenê,Ânderson Miguel da Silva,07/28/83,35,182.88,78.0,23.32,ST,ST,Brazil,70,70,925000.0,5000.0,Right,2,3,2,Normal,1900000.0,57.25,66.2,59.4,61.0,70.2,64.0,23.67
1402,T. Itō,伊藤 達哉,06/26/97,21,162.56,59.0,22.33,"LM,RM,LW",LM,Japan,70,81,3100000.0,6000.0,Left,1,4,4,Lean,5500000.0,56.0,53.6,63.2,85.4,48.8,45.83,25.0
1403,L. Spalvis,Lukas Spalvis,07/27/94,24,187.96,78.0,22.08,ST,ST,Lithuania,70,75,2400000.0,4000.0,Left,1,4,3,Lean,3700000.0,49.75,62.0,58.2,63.0,70.8,57.67,26.33
1404,Aitor García,Aitor García Flores,03/25/94,24,175.26,72.1,23.47,"ST,LM",ST,Spain,70,76,2500000.0,6000.0,Right,1,3,3,Normal,0.0,62.5,61.6,65.0,77.0,65.8,53.0,38.0
1405,J. Paredes,Juan Carlos Paredes,07/08/87,31,175.26,72.1,23.47,"RB,RWB",RB,Ecuador,70,70,700000.0,3000.0,Right,1,3,3,Lean,0.0,59.25,52.0,57.2,81.2,66.6,56.83,68.0
1406,M. Varnier,Marco Varnier,06/08/98,20,185.42,82.1,23.88,CB,CB,Italy,70,85,3500000.0,2000.0,Right,1,5,2,Normal,0.0,44.5,47.6,45.0,60.8,61.2,55.0,69.33
1407,S. Morsy,Sam Morsy,09/10/91,27,172.72,74.8,25.07,"CDM,CM",CDM,Egypt,70,71,1700000.0,26000.0,Right,1,3,3,Normal,3400000.0,50.5,54.2,59.2,72.2,70.0,66.17,63.67
1408,F. Ayité,Floyd Ayité,12/15/88,30,175.26,73.9,24.06,"LW,ST,RW",LW,Togo,70,70,1700000.0,31000.0,Right,1,4,3,Normal,3300000.0,62.0,63.8,66.6,78.8,72.6,52.17,32.67
1409,F. Zuculini,Franco Zuculini,09/05/90,28,175.26,68.0,22.14,CM,CM,Argentina,70,70,1800000.0,8000.0,Right,2,3,3,Normal,2700000.0,58.75,59.0,66.0,70.2,67.8,63.67,66.0
1410,Bruno Moreira,Bruno Daniel Castro Moreira,09/06/87,31,185.42,78.9,22.95,ST,ST,Portugal,70,70,1700000.0,6000.0,Right,1,3,3,Normal,3600000.0,50.0,66.2,51.6,60.2,68.6,60.0,30.0
1411,C. Fierro,Carlos Eduardo Fierro Guerrero,07/24/94,24,175.26,69.9,22.76,"RM,RW",RM,Mexico,70,74,2300000.0,12000.0,Right,1,4,3,Lean,0.0,63.5,62.8,62.8,80.2,69.2,52.83,27.0
1412,M. Morrison,Michael Morrison,03/03/88,31,182.88,76.2,22.78,CB,CB,England,70,70,1300000.0,14000.0,Right,1,3,2,Normal,2500000.0,38.0,42.2,43.0,57.2,60.0,50.67,70.33
1413,P. Gallagher,Paul Gallagher,08/09/84,34,185.42,69.9,20.33,"CM,CDM",CM,Scotland,70,70,1000000.0,9000.0,Right,1,3,3,Lean,2000000.0,73.5,64.2,72.8,59.6,66.8,65.0,58.0
1414,D. Nounkeu,Dany Nounkeu,04/11/86,32,182.88,79.8,23.86,CB,CB,Cameroon,70,70,1000000.0,9000.0,Right,1,3,2,Normal,2000000.0,49.75,46.4,52.0,67.0,62.6,51.5,66.0
1415,T. Tawatha,Taleb Tawatha,06/21/92,26,172.72,69.9,23.43,"LB,LWB",LB,Israel,70,71,1700000.0,16000.0,Left,1,3,2,Normal,3000000.0,56.5,55.0,58.8,75.2,56.4,53.0,68.67
1416,Toribio,Daniel Toribio Gutiérrez,10/05/88,30,175.26,71.2,23.18,"CDM,CM",CDM,Spain,70,70,1400000.0,6000.0,Left,1,3,2,Normal,2200000.0,56.75,49.6,57.2,61.2,72.8,62.5,71.0
1417,T. Carson,Trevor Carson,03/05/88,31,185.42,84.8,24.67,GK,GK,Northern Ireland,70,70,1100000.0,4000.0,Right,1,2,1,Normal,2000000.0,16.5,15.0,15.6,58.6,42.4,34.17,12.67
1418,H. Aiesh,Hosam Aiesh,01/01/95,24,154.94,72.1,30.03,"RM,RW,LW",RM,Sweden,70,75,2400000.0,3000.0,Right,1,4,3,Lean,3100000.0,51.0,52.4,57.6,80.6,66.0,60.17,40.67
1419,R. Boffin,Ruud Boffin,11/05/87,31,195.58,86.2,22.54,GK,GK,Belgium,70,70,1100000.0,8000.0,Right,1,2,1,Normal,2300000.0,15.0,14.2,16.0,53.0,44.0,31.67,14.67
1420,U. Matić,Uroš Matić,05/23/90,28,182.88,78.0,23.32,CM,CM,Serbia,70,70,1800000.0,12000.0,Left,1,3,3,Lean,0.0,63.25,61.0,65.0,68.6,74.6,66.83,60.67
1421,L. Giannetti,Lautaro Giannetti,11/13/93,25,182.88,78.9,23.59,CB,CB,Argentina,70,77,2100000.0,7000.0,Right,1,2,2,Normal,3600000.0,41.5,45.0,44.4,59.4,61.8,47.67,73.33
1422,D. Sorgić,Dejan Sorgić,09/15/89,29,152.4,69.9,30.1,ST,ST,Serbia,70,70,1800000.0,10000.0,Right,1,3,3,Normal,2700000.0,59.0,63.2,65.0,67.6,70.8,60.0,33.0
1423,José Arnáiz,José Manuel Arnáiz Díaz,04/15/95,23,175.26,69.9,22.76,"LM,ST,RM",LM,Spain,70,79,2700000.0,13000.0,Right,1,4,3,Normal,6300000.0,62.25,64.4,60.6,81.2,66.0,55.5,37.0
1424,D. Kaiser,Dominik Kaiser,09/16/88,30,170.18,67.1,23.17,"CM,CAM,CDM",CM,Germany,70,70,1700000.0,16000.0,Right,1,5,3,Normal,2100000.0,72.5,65.0,71.0,70.0,70.2,69.33,55.0
1425,A. Crescenzi,Alessandro Crescenzi,09/25/91,27,152.4,71.2,30.66,"LB,RB",LB,Italy,70,71,1700000.0,3000.0,Right,1,4,2,Normal,2800000.0,51.75,50.8,54.0,77.2,68.0,49.33,66.33
1426,D. Cerén,Darwin Adelso Cerén Delgado,12/31/89,29,152.4,73.0,31.43,"CDM,CM",CDM,El Salvador,70,70,1400000.0,5000.0,Right,1,3,2,Normal,2200000.0,58.25,53.6,61.2,62.6,61.2,66.67,68.33
1427,Y. Al Shehri,Yahia Sulaiman Al Shehri,06/26/90,28,165.1,63.0,23.11,"CAM,RM,LM,CM",CAM,Saudi Arabia,70,70,1800000.0,21000.0,Left,1,3,4,Stocky,3100000.0,66.5,61.6,67.8,70.6,58.4,59.83,32.67
1428,Renato Chaves,Renato de Araújo Chaves Júnior,05/04/90,28,185.42,78.0,22.69,CB,CB,Brazil,70,70,1400000.0,13000.0,Right,1,2,2,Normal,2400000.0,47.25,53.8,46.4,56.2,66.6,53.83,71.67
1429,A. Sissoko,Abdulwahid Sissoko,03/20/90,28,182.88,74.8,22.37,"CDM,CM",CDM,Mali,70,70,1400000.0,10000.0,Left,1,3,2,Lean,2900000.0,59.5,62.8,58.2,68.2,69.8,65.67,65.33
1430,Chong Te Se,Te Se Chong,03/02/84,35,154.94,79.8,33.24,ST,ST,Korea DPR,70,70,925000.0,3000.0,Right,2,2,3,Stocky,1200000.0,60.75,66.6,60.8,67.0,72.0,64.5,38.33
1431,Dodô,Domilson Cordeiro dos Santos,11/17/98,20,165.1,68.0,24.95,RB,RB,Brazil,70,81,2600000.0,2000.0,Right,1,3,3,Lean,5900000.0,54.25,57.6,59.2,86.6,63.8,56.17,66.0
1432,R. Jenssen,Ruben Yttergård Jenssen,05/04/88,30,172.72,71.2,23.87,"CM,LW",CM,Norway,70,70,1600000.0,4000.0,Left,1,2,3,Stocky,2100000.0,61.75,64.0,64.4,74.0,74.4,67.17,56.67
1433,J. Onomah,Josh Onomah,04/27/97,21,185.42,83.0,24.14,"CAM,CM,RM,LM",CAM,England,70,82,3200000.0,29000.0,Right,1,3,3,Lean,0.0,54.25,56.6,63.4,71.8,62.8,54.67,56.0
1434,P. Franco,Pedro Camilo Franco Ulloa,04/23/91,27,182.88,73.0,21.83,"CB,CDM",CB,Colombia,70,72,1700000.0,22000.0,Right,1,3,3,Normal,0.0,62.0,57.2,64.4,65.2,65.8,63.5,67.33
1435,J. Dudziak,Jeremy Dudziak,08/28/95,23,175.26,69.9,22.76,"RB,LB,CDM,CM",RB,Germany,70,75,2000000.0,8000.0,Left,1,3,3,Lean,3300000.0,64.5,60.0,67.2,79.0,64.6,64.5,66.33
1436,W. Zahibo,Wilfried Zahibo,08/21/93,25,190.5,77.1,21.25,"CDM,CM",CDM,France,70,75,2000000.0,4000.0,Right,1,4,2,Lean,3200000.0,48.25,49.2,53.0,61.6,70.8,63.67,67.67
1437,J. Toledo,Javier Fabián Toledo,04/20/86,32,187.96,88.9,25.16,ST,ST,Argentina,70,70,1400000.0,8000.0,Left,1,3,2,Normal,2100000.0,61.5,65.6,60.2,51.2,69.8,61.5,41.0
1438,C. Diandy,Christophe Diandy,11/25/90,28,185.42,83.0,24.14,"CDM,CM",CDM,Senegal,70,71,1700000.0,8000.0,Left,1,3,3,Lean,2600000.0,59.25,58.8,62.4,66.0,65.4,62.33,67.67
1439,A. Jędrzejczyk,Artur Jędrzejczyk,11/04/87,31,187.96,78.0,22.08,"RB,LB,CB",RB,Poland,70,70,1300000.0,6000.0,Right,1,3,3,Normal,1800000.0,54.5,62.4,56.2,67.0,66.8,56.67,66.33
1440,Waguininho,Wagner da Silva Souza,01/30/90,29,152.4,68.9,29.67,"ST,CAM",ST,Brazil,70,70,1800000.0,6000.0,Right,1,3,3,Normal,2300000.0,59.5,65.2,63.4,73.2,66.4,65.67,47.33
1441,M. Manotas,Mauro Manotas,07/15/95,23,154.94,66.2,27.58,"ST,LW",ST,Colombia,70,77,2500000.0,5000.0,Right,1,2,3,Normal,4300000.0,53.0,61.6,53.6,72.4,64.2,59.33,29.0
1442,Aderllan Santos,Aderllan de Jesus Santos,04/09/89,29,193.04,83.9,22.51,CB,CB,Brazil,70,71,1600000.0,19000.0,Right,1,2,2,Normal,2800000.0,46.25,49.2,48.8,51.4,67.2,56.67,70.67
1443,J. Roa,Juan Daniel Roa Reyes,08/20/91,27,172.72,67.1,22.49,"CM,RM,CDM",CM,Colombia,70,71,2100000.0,3000.0,Right,1,2,3,Normal,3000000.0,50.25,53.2,56.6,73.8,74.8,64.17,67.67
1444,Dani Hernández,Daniel Hernández Santos,10/21/85,33,195.58,88.9,23.24,GK,GK,Venezuela,70,70,1000000.0,5000.0,Right,1,2,1,Lean,1600000.0,25.0,19.2,24.0,43.8,45.0,31.67,9.33
1445,A. Bouhaddouz,Aziz Bouhaddouz,03/30/87,31,187.96,88.0,24.91,ST,ST,Morocco,70,70,1600000.0,10000.0,Right,1,4,3,Normal,2600000.0,61.25,64.8,63.6,60.8,72.2,61.17,13.0
1446,N. Hauptmann,Niklas Hauptmann,06/27/96,22,175.26,66.2,21.55,"CAM,CM",CAM,Germany,70,80,2900000.0,10000.0,Left,1,4,3,Lean,4900000.0,61.0,53.6,67.4,77.0,60.4,54.17,52.67
1447,L. Paqarada,Leart Paqarada,10/08/94,24,182.88,76.2,22.78,"LB,LWB",LB,Kosovo,70,74,1900000.0,4000.0,Left,1,3,3,Normal,3200000.0,64.0,55.0,70.6,71.2,62.6,57.83,67.67
1448,D. Kinsombi,David Kinsombi,12/12/95,23,182.88,73.9,22.1,"CM,CDM,CB",CM,Germany,70,76,2400000.0,7000.0,Right,1,3,3,Normal,4300000.0,49.25,53.8,54.0,71.4,71.8,63.0,68.33
1449,R. Improta,Riccardo Improta,12/19/93,25,152.4,73.0,31.43,"LW,RW,LM",LW,Italy,70,71,2100000.0,3000.0,Right,1,3,3,Lean,3600000.0,60.0,60.4,59.8,79.4,48.2,49.0,15.67
1450,E. Torres,Erick Estéfano Torres Padilla,01/19/93,26,182.88,81.2,24.28,ST,ST,Mexico,70,73,2300000.0,12000.0,Right,1,3,3,Normal,4000000.0,69.5,67.6,67.4,72.6,71.2,65.67,27.67
1451,F. Diabaté,Fousseni Diabaté,10/18/95,23,175.26,59.9,19.5,"ST,LM,RM",ST,Mali,70,78,2700000.0,30000.0,Left,1,3,3,Lean,0.0,56.0,64.8,57.6,76.6,59.6,50.17,17.0
1452,S. Willems,Steeven Willems,08/31/90,28,182.88,76.2,22.78,"CB,LB",CB,France,70,71,1700000.0,8000.0,Left,1,3,2,Lean,2600000.0,60.25,49.8,56.2,67.6,64.8,56.0,71.33
1453,S. Özcan,Salih Özcan,01/11/98,21,154.94,73.9,30.78,"CM,CDM",CM,Germany,70,82,3100000.0,9000.0,Right,1,3,3,Normal,5300000.0,60.0,57.6,65.4,67.8,59.2,66.0,70.0
1454,M. Caligiuri,Marco Caligiuri,04/14/84,34,154.94,74.8,31.16,"CB,RB",CB,Germany,70,70,550000.0,6000.0,Right,1,3,2,Normal,853000.0,62.75,59.8,59.8,66.8,69.0,65.0,70.33
1455,D. Moberg Karlsson,David Moberg Karlsson,03/20/94,24,152.4,76.2,32.81,"RM,LM",RM,Sweden,70,76,2400000.0,1000.0,Left,1,4,3,Normal,5800000.0,50.75,60.0,61.4,75.0,67.4,49.0,23.67
1456,O. Dramé,Ousmane Dramé,08/25/92,26,175.26,69.9,22.76,LW,LW,France,70,71,2100000.0,5000.0,Right,1,3,4,Stocky,4600000.0,56.0,61.0,63.6,81.2,59.2,60.0,39.33
1457,Puado,Javier Puado Díaz,05/25/98,20,152.4,68.9,29.67,"ST,CF,CAM",ST,Spain,70,82,3200000.0,12000.0,Right,1,3,3,Normal,7400000.0,46.5,62.0,54.4,71.2,61.4,48.67,23.33
1458,C. Henao,Carlos Alberto Henao Sánchez,12/03/88,30,187.96,84.8,24.0,CB,CB,Colombia,70,70,1400000.0,3000.0,Left,1,4,2,Normal,1900000.0,49.75,42.4,53.4,48.6,72.0,54.83,69.67
1459,J. Palacios,Jeisson Andrés Palacios Palacios,06/30/90,28,152.4,72.1,31.04,RB,RB,Colombia,70,70,1400000.0,3000.0,Right,1,2,2,Normal,2000000.0,50.25,55.6,51.4,75.6,67.0,59.33,63.33
1460,M. Wittek,Maximilian Wittek,08/21/95,23,172.72,69.9,23.43,LB,LB,Germany,70,78,2200000.0,5000.0,Left,1,2,3,Normal,3900000.0,64.25,63.0,70.0,76.6,71.0,58.67,66.33
1461,M. Hartel,Marcel Hartel,01/19/96,23,175.26,68.9,22.43,"LW,CAM",LW,Germany,70,76,2400000.0,16000.0,Right,1,4,3,Lean,4400000.0,59.75,60.8,66.8,75.8,60.8,52.0,28.0
1462,M. Frýdek,Martin Frýdek,03/24/92,26,152.4,76.2,32.81,"CM,LB,CDM",CM,Czech Republic,70,73,2200000.0,1000.0,Left,1,3,3,Normal,4900000.0,65.0,63.6,68.4,73.2,75.0,69.17,65.33
1463,A. Montero,Álvaro David Montero Perales,03/29/95,23,195.58,84.8,22.17,GK,GK,Colombia,70,79,2100000.0,2000.0,Right,1,3,1,Normal,3300000.0,21.0,22.0,18.6,46.2,41.8,26.17,16.67
1464,E. Hestad,Eirik Hestad,06/26/95,23,182.88,74.8,22.37,"RW,CM",RW,Norway,70,77,2500000.0,5000.0,Left,1,3,4,Lean,3600000.0,62.5,62.2,67.4,73.6,65.8,63.17,56.67
1465,M. Drudi,Mirko Drudi,02/22/87,32,182.88,79.8,23.86,"CB,RB",CB,Italy,70,70,1200000.0,2000.0,Right,1,3,2,Lean,1900000.0,55.5,57.0,59.0,63.4,64.4,60.0,70.0
1466,S. Schonlau,Sebastian Schonlau,08/05/94,24,185.42,77.1,22.43,CB,CB,Germany,70,74,2000000.0,6000.0,Right,1,3,2,Lean,3200000.0,45.25,45.8,48.2,65.4,61.2,53.83,70.0
1467,P. Toranzo,Patricio Daniel Toranzo,03/19/82,36,152.4,73.0,31.43,"CAM,CM,LM",CAM,Argentina,70,70,600000.0,7000.0,Right,1,3,3,Normal,900000.0,72.25,64.4,74.0,58.0,65.0,64.5,54.33
1468,Daniel Amora,Daniel Lopes Amora,10/20/87,31,185.42,78.0,22.69,"CDM,CM",CDM,Brazil,70,70,1300000.0,11000.0,Right,1,2,3,Lean,2200000.0,52.5,51.6,58.6,61.8,68.2,61.5,62.67
1469,M. Hanousek,Matěj Hanousek,06/02/93,25,182.88,73.9,22.1,"LB,LM",LB,Czech Republic,70,74,1900000.0,1000.0,Left,1,2,2,Lean,4300000.0,49.25,51.4,50.0,77.2,67.0,53.5,63.33
1470,T. Derijck,Timothy Derijck,05/25/87,31,185.42,81.2,23.62,CB,CB,Belgium,70,70,1200000.0,11000.0,Right,1,4,2,Normal,1800000.0,52.75,47.4,51.4,54.4,58.0,62.0,68.33
1471,E. López,Edwar López,03/09/95,24,152.4,78.9,33.97,"ST,LM",ST,Colombia,70,77,2500000.0,9000.0,Right,1,4,3,Normal,4300000.0,57.0,62.0,55.6,75.4,65.4,62.67,51.67
1472,Anuar,Anuar Mohamed Tuhami,01/15/95,24,172.72,63.0,21.12,"CDM,CAM,CM",CDM,Morocco,70,77,2100000.0,9000.0,Right,1,3,2,Normal,5100000.0,55.5,52.8,56.6,75.4,63.4,56.83,71.33
1473,K. Günter,Koray Günter,08/16/94,24,182.88,78.9,23.59,CB,CB,Germany,70,75,2000000.0,8000.0,Right,1,3,2,Normal,3800000.0,40.5,44.2,47.2,62.0,59.2,54.0,69.0
1474,A. Konradsen,Anders Ågnes  Konradsen,07/18/90,28,182.88,76.2,22.78,"CM,CDM",CM,Norway,70,70,1800000.0,5000.0,Right,1,3,3,Normal,2400000.0,63.25,65.2,64.4,69.6,76.8,66.83,67.0
1475,G. Torres,Gabriel Arturo Torres Tejada,10/31/88,30,154.94,74.8,31.16,ST,ST,Panama,70,70,1800000.0,8000.0,Right,1,3,3,Lean,2500000.0,65.0,63.8,64.2,72.6,71.0,57.83,26.33
1476,T. Asano,浅野 佐藤,11/10/94,24,172.72,71.2,23.87,"LM,RM,CF",LM,Japan,70,75,2400000.0,39000.0,Right,1,4,3,Normal,0.0,53.25,60.0,55.0,85.4,67.2,54.0,21.33
